"ENAUT_Id","ENAUT_Entscheidung","ENAUT_Autor"
1,4,1
2,6,1
3,15,1
4,7,1
5,8,1
6,9,1
7,10,1
8,11,1
9,12,1
10,13,1
11,14,1
12,16,1
13,18,1
14,17,1
15,22,1
16,21,1
18,19,1
19,23,1
20,24,1
21,25,1
22,26,1
23,27,1
24,28,1
25,29,1
26,30,1
27,31,1
28,32,1
29,33,1
30,34,1
31,35,1
32,36,1
33,37,1
34,38,1
35,39,1
36,40,1
37,41,1
38,42,1
39,43,1
40,44,1
41,45,73
42,46,73
43,47,73
44,48,73
45,49,73
46,50,73
47,51,73
48,52,73
49,53,73
51,55,73
52,56,73
53,54,73
54,57,73
55,58,73
56,59,73
57,60,73
58,61,73
59,62,14
60,63,14
61,64,14
62,65,14
63,66,14
64,67,14
65,68,14
66,69,14
67,70,14
68,71,14
69,72,14
70,73,14
71,74,14
72,75,14
73,76,14
74,77,14
75,78,14
76,79,14
77,80,14
78,81,14
79,82,14
80,83,14
81,84,14
82,85,14
83,86,14
84,87,14
85,88,14
86,89,14
87,90,14
88,91,14
89,92,14
90,93,14
91,94,14
92,95,14
93,96,14
94,97,14
95,98,14
96,99,14
97,100,3
98,101,3
99,102,3
100,103,3
101,104,3
102,105,3
103,106,3
104,107,3
105,108,3
106,109,3
107,110,3
108,112,2
109,113,2
110,114,2
111,115,2
112,116,2
113,117,2
114,118,2
115,119,2
116,120,2
117,121,2
118,122,2
119,123,2
120,124,2
121,125,2
122,127,74
123,128,74
124,129,74
125,130,5
126,131,5
127,132,5
128,133,5
129,134,5
130,135,5
131,135,6
132,136,5
133,136,6
134,137,5
135,137,6
136,138,5
137,138,6
138,139,5
139,139,6
140,140,5
141,140,6
142,141,5
143,141,6
144,142,5
145,142,6
146,143,5
147,143,6
148,144,5
149,144,6
150,145,5
151,145,6
152,146,5
153,146,6
154,147,5
155,147,6
156,148,7
157,149,7
158,150,7
159,151,7
160,152,7
161,153,7
162,154,7
163,155,7
164,156,7
165,157,7
166,158,7
167,159,7
168,160,7
169,161,7
170,162,7
171,163,7
172,164,7
173,165,7
174,166,7
175,167,7
176,168,7
177,169,7
178,170,7
179,171,7
180,172,7
181,173,7
182,174,7
183,175,7
184,176,7
185,177,7
186,178,7
187,179,7
188,180,7
189,181,8
190,182,8
191,183,8
192,184,75
193,185,8
194,185,75
195,184,8
196,186,8
197,186,75
198,187,8
199,187,75
200,188,8
201,188,75
202,189,9
203,190,9
204,191,9
205,192,9
206,193,9
207,194,9
208,195,9
