"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
1,4,80
3,4,152
5,5,105
6,15,84
7,15,158
8,19,158
9,19,84
10,28,84
11,28,158
14,31,84
15,31,158
16,36,80
18,36,152
20,38,80
21,38,152
22,39,82
24,39,158
25,42,83
26,45,106
27,46,103
28,48,105
29,49,105
30,47,104
31,50,105
32,45,210
33,47,210
34,48,211
35,49,211
36,5,210
37,47,150
38,48,152
39,49,150
40,51,152
41,51,102
42,51,105
43,53,186
44,53,106
45,53,210
46,53,211
47,52,152
48,54,104
49,55,150
50,55,210
51,55,104
52,56,212
53,57,150
54,57,104
55,57,210
56,54,210
57,54,150
58,58,158
59,58,105
60,58,210
61,59,106
62,59,107
63,59,210
64,6,148
65,6,81
66,6,115
69,8,111
71,9,148
72,9,11
75,7,132
76,10,182
77,11,158
78,11,82
79,11,83
81,12,131
82,12,111
83,13,124
84,13,113
85,13,158
88,13,69
89,16,124
91,17,132
94,18,148
95,18,133
97,20,206
98,22,171
99,22,172
100,23,158
101,23,82
102,23,83
103,24,175
104,25,98
106,25,82
107,25,152
108,26,158
109,26,83
110,26,96
111,27,152
112,27,76
113,27,82
114,27,84
115,27,201
116,32,158
117,32,82
118,32,84
121,33,82
122,33,160
123,33,103
124,34,152
126,35,45
127,35,47
128,62,80
129,62,152
130,62,193
132,65,216
133,64,216
134,63,216
138,66,111
139,67,158
141,67,140
142,100,49
143,100,52
145,100,158
146,100,160
147,101,49
148,101,52
149,101,54
150,102,49
151,102,52
153,102,158
154,102,160
156,104,149
157,104,152
161,106,87
162,106,149
163,107,158
165,107,84
166,107,83
168,108,140
169,110,168
170,110,82
171,111,80
174,113,70
175,114,182
176,116,104
178,116,211
180,37,149
181,37,216
182,40,149
183,41,152
184,41,69
185,41,105
187,40,217
188,43,207
189,43,208
190,44,76
191,44,158
192,117,132
193,119,132
194,120,187
195,120,32
196,121,158
198,122,152
200,123,132
201,124,132
202,125,158
206,130,174
207,130,124
208,131,158
209,131,124
210,132,152
211,132,77
212,132,87
213,134,151
214,135,119
215,136,119
216,136,173
217,136,211
218,137,124
219,138,132
220,139,132
221,139,103
222,140,217
223,141,119
224,142,208
225,142,191
226,142,217
228,143,119
229,145,132
230,181,82
231,182,149
232,182,217
233,183,45
234,183,211
238,185,152
242,187,140
243,188,158
244,189,111
245,189,172
246,190,218
