"Gericht_Id","Gericht_Bezeichnung","Gericht_Kurzbezeichnung","Gericht_Hoechstgericht","Gericht_Staat","Gericht_Teilrechtsordnung"
1,Oberster Gerichtshof (Supreme Court),OGH,1,1,1
2,Oberlandesgericht Wien (Court of Appeal Vienna),OLG Wien,0,1,1
3,Verfassungsgerichtshof (Constitutional Court),VfGH,0,1,1
4,Bundesgerichtshof (Supreme Court),BGH,1,9,8
5,Oberlandesgericht (Court of Appeal),OLG,0,9,8
6,Landesgericht ,LG,0,9,8
7,Bundesverfassungsgericht (Federal Constitutional Court),BVerfG,0,9,8
8,Cour d'Arbitrage (Court of Arbitration),Cour d'Arbitrage,0,2,2
9,Cour de Cassation/Hof van Cassatie (Supreme Court),Cass.,1,2,2
10,Anvers Cour d'Appel (Antwerp Court of Appeal),Antwerp Court of Appeal,0,2,2
11,Bruxelles Cour d'Appel (Brussels Court of Appeal),Brussels Court of Appeal,0,2,2
12,Bruxelles Tribunal de Première Instance,Brussels Court of First Instance,0,2,2
13,Højesteretsdom (Supreme Court),H.D.,1,4,4
14,"Vestre Landsret (Court of Appeal, West)",V. L. ,0,4,4
15,European Court of Human Rights ,ECtHR,1,27,26
16,United Kingdom House of Lords,UKHL,1,27,26
17,England and Wales Court of Appeal,EWCA,0,27,26
18,High Court,HC,1,27,26
19,Riigikohus,Riigikohus,1,5,5
20,Korkein oikeus (Supreme Court),KKO,1,7,6
21,Tribunal de Grande Instance (District Court),TGI,0,8,7
22,Athens Court of Appeal,Athens Court of Appeal,0,10,9
23,Areios Pagos (Supreme Court),AP,1,10,9
24,Nafplio Court of Appeal ,CA Nafplio,0,10,9
25,Thessaloniki Court of Appeal,CA Thessaloniki,0,10,9
26,Athens Court of First Instance,C 1st Athens,0,10,9
27,"Piraeus Court of First Instance
",C 1st Piraeus,0,10,9
28,Larissa Court of Appeal,Larissa Court of Appeal,0,10,9
29,Thessaloniki Court of First Instance ,C 1st Thessaloniki,0,10,9
31,High Court,HC,1,13,10
32,European Court of Human Rights,ECtHR,1,13,10
33,Supreme Court ,SC,1,13,10
34,High Court of Ireland,HC,0,13,10
35,Corte di Cassazione (Supreme Court),Cass.,1,14,12
36,Giudice di Pace di Roma (Basic Court),Giud. Pace,0,14,12
